model,capacity,C,N,repeat,logloss,precision,recall,f1,hidden
logreg,C=0.1,0.1,50,0,0.6717537467164894,0.5,1.0,0.6666666666666666,
logreg,C=0.1,0.1,50,1,0.6629134030463121,1.0,0.011,0.021760633036597428,
logreg,C=0.1,0.1,50,2,0.664091530517818,0.6426735218508998,1.0,0.7824726134585289,
logreg,C=0.1,0.1,100,0,0.6384794007602292,0.5333333333333333,1.0,0.6956521739130435,
logreg,C=0.1,0.1,100,1,0.6350189802642876,1.0,0.3746,0.5450312818274408,
logreg,C=0.1,0.1,100,2,0.6304120659597929,0.9202431386995763,0.9992,0.9580976124268865,
logreg,C=0.1,0.1,200,0,0.5828545941493507,0.9811616954474097,1.0,0.9904912836767037,
logreg,C=0.1,0.1,200,1,0.5879720845316273,0.9628345850182939,1.0,0.9810654370646522,
logreg,C=0.1,0.1,200,2,0.5892291806367687,0.8933357155619082,1.0,0.9436633009342267,
logreg,C=0.1,0.1,400,0,0.5114791320778651,0.9624639076034649,1.0,0.980872976949485,
logreg,C=0.1,0.1,400,1,0.5102397021434044,0.9585889570552147,1.0,0.9788566953797964,
logreg,C=0.1,0.1,400,2,0.5123984841934218,0.9811616954474097,1.0,0.9904912836767037,
logreg,C=0.1,0.1,800,0,0.4129982958442998,0.9682416731216111,1.0,0.9838646202282566,
logreg,C=0.1,0.1,800,1,0.4154792708036207,0.9652509652509652,1.0,0.9823182711198428,
logreg,C=0.1,0.1,800,2,0.4171034606153536,0.9678668215253581,1.0,0.9836710603974032,
logreg,C=0.3,0.3,50,0,0.6135713453054116,0.9918130990415336,0.9934,0.9926059152677857,
logreg,C=0.3,0.3,50,1,0.6192770085197197,1.0,0.0228,0.044583496284708646,
logreg,C=0.3,0.3,50,2,0.6212515628267714,1.0,0.012,0.023715415019762844,
logreg,C=0.3,0.3,100,0,0.5483790499336862,0.9654373431164317,1.0,0.9824147755182238,
logreg,C=0.3,0.3,100,1,0.5511710756378183,0.9551098376313276,1.0,0.9770395701025891,
logreg,C=0.3,0.3,100,2,0.5511213732097267,0.9910376419040032,0.9952,0.993114459634767,
logreg,C=0.3,0.3,200,0,0.4556223621096574,0.9589566551591868,1.0,0.9790483649892304,
